ID,Year,University Name English,I,We,You,She/He,They,Affiliation,Achievement,Power,All-or-none,Insight,Causation,Tentative,Certitude,Leisure,Home,Work,Money,Past Focus,Present Focus,Future Focus,WB: Direction,WB: Prosociality,WB: Means,WB: Identity,WB: Motivation,WB: Coherence,WB: Significance,WB: Spiritual,WB: Social Connections,WB: Purpose,WB: Meaning,Mindfulness
1307,2013,Dongguk University,0.07,4.81,0.33,0,2.41,7.09,3.64,2.34,0.33,2.6,1.43,0.78,0.59,1.95,0.39,4.55,1.89,3.32,3.77,2.08,2.02,0.46,0.78,1.5,2.08,1.37,2.21,0.91,0.72,2.73,1.82,1.3
1301,2013,Gachon University,0.11,2.21,0.22,0.11,1.99,3.1,3.49,0.83,0.28,2.99,2.66,0.44,0.11,0.55,0,8.03,2.66,4.43,3.16,1.11,1.66,0.28,1.33,1.22,2.21,1.16,2.21,0.33,0.55,2.6,2.16,1.44
1324,2013,Hankuk University of Foreign Studies,0,9.58,0.15,0.75,2.89,11.17,2.59,2.04,0.8,2.44,3.19,0.8,0.35,0.25,0,5.84,3.24,3.39,5.59,1.55,1.25,1.05,0.65,1,1.85,1.05,2,0.3,0.9,3.44,3.19,0.95
1302,2013,Kangwon National University,0.41,6.88,0.12,0.17,2.97,10.15,3.67,1.81,0.41,3.38,2.57,0.52,0.12,0.12,0,9.85,3.44,3.5,3.44,1.46,1.11,0.58,0.58,0.35,1.46,0.47,1.46,0.17,0.41,1.52,1.17,1.4
1312,2013,Kyunghee University,0,4.85,0.24,0.42,1.68,5.69,1.32,0.66,0.36,2.76,2.52,0.48,0.24,0.3,0.06,5.03,3.3,2.34,5.87,2.28,0.48,0.36,0.66,0.36,1.14,0.66,1.14,0.06,0.36,1.5,1.5,1.38
1311,2013,Sejong University,0,3.13,0.14,0,2.18,5.3,2.04,0.75,0.27,1.77,1.5,0.95,0.07,0.41,0,7.07,3.2,3.94,3.54,1.09,0.88,0.75,1.09,0.61,1.5,0.61,1.5,0.14,0.68,2.52,2.58,1.77
1303,2013,Seoul National University,0,5.48,0,0.06,0.88,7.13,3.3,2.53,0.18,2.24,2.47,0.24,0.12,0.18,0.18,8.13,4.89,2.41,3.95,1.53,1.35,0.35,0.88,0.71,1.59,0.71,1.83,0.24,0.24,1.77,1.53,1
1319,2013,Sogang University,0.06,4.06,0.17,0.28,1.5,5.23,3.17,0.67,0.67,1.45,2.72,1,0.39,1.61,0.28,3.89,2.33,2.95,5.23,2.28,1.45,0.89,0.44,0.56,1.83,0.78,1.61,0.33,0.94,2.39,1.67,1.61
1304,2013,Sungkyunkwan University,0,6.01,0.06,0.24,2.41,7.58,3.49,2.65,0.84,1.56,2.22,1.26,0.42,0.12,0.36,6.92,2.77,2.89,2.95,1.08,1.14,0.96,0.96,0.72,1.86,0.78,1.86,0.36,0.84,2.59,2.22,1.8
1318,2013,University of Suwon,0.06,3.31,0.81,0.06,2.44,5.25,2.94,0.69,0.38,2.63,2.31,1.94,0.19,0.25,0,6.57,2.88,1,6.57,2.19,1.88,0.94,1.19,1.06,2.44,0.5,2.63,0.25,0.81,3,2.63,1.31
1305,2013,Yonsei University,0.18,5.44,0.35,0.12,1.64,6.61,2.69,1.4,0.59,1.87,1.4,0.41,0.41,0.35,0.18,8.07,2.34,2.4,4.39,1.35,1.58,0.88,1.29,1.17,2.28,1.05,2.46,0.59,0.7,3.22,3.1,1.58
1414,2014,Catholic University of Korea,0,2.16,0.22,0.11,4.37,6.1,2.81,0.81,0.38,2.21,2.81,0.54,0.27,0.38,0.11,6.85,3.29,2.21,5.94,1.46,2.37,0.7,1.4,1.24,2.86,1.3,2.37,0.43,1.24,3.51,2.54,2
1422,2014,Chung Ang University,0.05,5.39,0.41,2.57,1.23,7.7,2.87,0.62,0.36,2.21,2.46,0.97,0.15,0.51,0.1,7.75,3.54,1.85,7.08,1.74,1.85,1.18,1.59,1.44,2.21,0.77,1.85,0.67,1.23,3.08,2.67,1.95
1416,2014,Dankook University,0,5.29,0.12,1.97,1.66,6.39,3.26,1.11,0.8,2.7,2.89,0.61,0.12,0.18,0,5.59,2.34,4.36,4.55,1.72,1.29,0.43,0.49,0.92,1.48,0.8,1.41,0.31,0.49,1.91,1.29,1.41
1413,2014,Dongguk University,0.11,3.98,0.28,0.28,1.55,6.69,3.04,2.05,0.55,2.32,3.1,1.22,0.66,1.38,0.11,5.59,3.71,4.42,3.93,1.22,1.77,1.27,1.16,1.27,2.38,0.94,2.32,0.61,1.38,3.26,3.1,1.77
1409,2014,Ewha Womans University,0,5.27,0,0.14,2.15,6.94,2.29,0.56,0.42,3.33,2.98,0.42,0.07,0.9,0.07,6.87,3.26,2.98,4.93,1.25,0.76,1.04,0.69,0.49,1.25,0.97,1.8,0.76,0.83,2.22,2.57,1.6
1415,2014,Gachon University,0,3.06,0.11,0.38,3.22,5.63,3.44,1.64,0.49,1.97,2.4,0.82,0.05,0.66,0,9.62,2.84,3.93,3.83,1.53,2.02,0.87,1.42,1.86,2.3,0.77,2.19,0.82,1.2,2.73,2.57,1.2
